signal_time,entry_time,exit_time,direction,entry,stop,target,risk_price,risk_money,units,result,R,gross_pnl,net_pnl,reason,balance_after,equity
2025-07-07 04:15:00+00:00,2025-07-07 04:35:00+00:00,2025-07-07 05:30:00+00:00,LONG,3314.42,3310.77,3321.7200000000003,3.650000000000091,115.51128684076865,31.646927901579662,LOSS,-1.0,-115.51128684076865,-115.51128684076865,Below PDL -> green reversal -> break green high,11435.617397236096,11435.617397236096
2025-07-07 04:45:00+00:00,2025-07-07 17:50:00+00:00,2025-07-07 18:05:00+00:00,LONG,3320.0,3316.24,3327.5200000000004,3.7600000000002183,114.35617397236096,30.413876056477214,LOSS,-1.0,-114.35617397236096,-114.35617397236096,Below PDL -> green reversal -> break green high,11321.261223263735,11321.261223263735
2025-07-07 18:05:00+00:00,2025-07-07 18:10:00+00:00,2025-07-07 18:15:00+00:00,LONG,3318.26,3317.63,3319.5200000000004,0.6300000000001091,113.21261223263735,179.70255909939326,LOSS,-1.0,-113.21261223263735,-113.21261223263735,Below PDL -> green reversal -> break green high,11208.048611031098,11208.048611031098
2025-07-07 18:20:00+00:00,2025-07-07 18:30:00+00:00,2025-07-07 19:20:00+00:00,LONG,3320.14,3317.4,3325.6199999999994,2.7399999999997817,112.08048611031097,40.90528690157661,WIN,2.0,224.16097222062194,224.16097222062194,Below PDL -> green reversal -> break green high,11432.209583251719,11432.209583251719
2025-07-08 18:15:00+00:00,2025-07-08 18:20:00+00:00,2025-07-09 05:50:00+00:00,LONG,3295.64,3287.13,3312.6599999999994,8.509999999999764,114.32209583251719,13.433853799356095,LOSS,-1.0,-114.32209583251719,-114.32209583251719,Below PDL -> green reversal -> break green high,11317.887487419202,11317.887487419202
2025-07-09 11:40:00+00:00,2025-07-09 11:45:00+00:00,2025-07-09 13:35:00+00:00,LONG,3286.95,3282.77,3295.3099999999995,4.179999999999836,113.17887487419203,27.076285855070925,WIN,2.0,226.35774974838407,226.35774974838407,Below PDL -> green reversal -> break green high,11544.245237167586,11544.245237167586
2025-07-09 14:35:00+00:00,2025-07-09 15:00:00+00:00,2025-07-09 15:05:00+00:00,LONG,3286.88,3285.99,3288.6600000000008,0.8900000000003274,115.44245237167587,129.7106206422847,WIN,2.0,230.88490474335174,230.88490474335174,Below PDL -> green reversal -> break green high,11775.130141910939,11775.130141910939
2025-07-10 01:35:00+00:00,2025-07-10 02:00:00+00:00,2025-07-10 03:40:00+00:00,SHORT,3319.38,3321.17,3315.8,1.7899999999999636,117.75130141910938,65.78284995481104,LOSS,-1.0,-117.75130141910938,-117.75130141910938,Above PDH -> green -> red reversal -> break red low,11657.378840491829,11657.378840491829
2025-07-10 03:00:00+00:00,2025-07-10 04:00:00+00:00,2025-07-10 04:05:00+00:00,SHORT,3316.62,3318.24,3313.38,1.6199999999998909,116.57378840491829,71.95912864501614,LOSS,-1.0,-116.57378840491829,-116.57378840491829,Above PDH -> green -> red reversal -> break red low,11540.805052086911,11540.805052086911
2025-07-10 04:20:00+00:00,2025-07-10 05:15:00+00:00,2025-07-10 05:20:00+00:00,SHORT,3321.18,3323.03,3317.479999999999,1.8500000000003638,115.40805052086911,62.382730011268336,LOSS,-1.0,-115.40805052086911,-115.40805052086911,Above PDH -> green -> red reversal -> break red low,11425.397001566042,11425.397001566042
